HouseholdId,PersonNumber,Age,Sex,License,TransitPass,EmploymentStatus,Occupation,FreeParking,StudentStatus,EmploymentZone,SchoolZone,ExpansionFactor
10286,1,49,M,Y,N,F,G,O,O,758.0,0.0,22.245827591404485
10286,2,45,F,Y,N,F,G,O,O,758.0,0.0,22.245827591404485
10286,3,16,M,N,N,O,O,O,S,0.0,758.0,22.245827591404485
10286,4,13,M,N,N,O,O,O,S,0.0,758.0,22.245827591404485
10287,1,56,M,Y,N,F,P,O,O,0.0,0.0,27.621371412441093
10288,1,73,M,Y,N,O,O,O,O,758.0,0.0,18.945427827764085
10288,2,72,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10288,3,49,M,Y,N,F,P,O,O,758.0,0.0,18.945427827764085
10289,1,44,M,Y,N,O,O,O,O,0.0,0.0,21.82265401656003
10289,2,40,F,Y,N,O,O,O,O,0.0,0.0,21.82265401656003
10289,3,18,F,Y,N,O,O,O,S,0.0,577.0,21.82265401656003
10289,4,15,F,N,N,O,O,O,O,0.0,0.0,21.82265401656003
10290,1,79,F,Y,N,O,O,O,O,0.0,0.0,21.158678742222506
10290,2,51,M,Y,N,F,P,O,O,0.0,0.0,21.158678742222506
10290,3,24,M,Y,N,F,M,O,O,751.0,0.0,21.158678742222506
10291,1,74,M,Y,N,O,O,O,O,0.0,0.0,31.534399029203584
10291,2,67,F,Y,N,O,O,O,O,0.0,0.0,31.534399029203584
10292,1,71,M,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10292,2,68,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10292,3,30,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10292,4,8,M,N,N,O,O,O,S,0.0,758.0,18.945427827764085
10293,1,48,M,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10293,2,47,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10293,3,18,F,Y,N,O,O,O,S,0.0,758.0,18.945427827764085
10293,4,16,M,N,N,O,O,O,S,0.0,758.0,18.945427827764085
10294,1,84,F,Y,N,O,O,O,O,0.0,0.0,1.0
10295,1,46,M,Y,N,O,O,O,O,0.0,0.0,21.660348949499745
10295,2,45,F,Y,N,O,O,O,O,0.0,0.0,21.660348949499745
10295,3,21,M,Y,N,O,O,O,S,0.0,614.0,21.660348949499745
10295,4,19,M,Y,N,O,O,O,S,0.0,758.0,21.660348949499745
10296,1,79,M,Y,N,O,O,O,O,0.0,0.0,1.0
10296,2,50,M,Y,N,O,O,O,O,0.0,0.0,1.0
10296,3,30,M,Y,N,O,O,O,O,0.0,0.0,1.0
10297,1,84,M,Y,N,O,O,O,O,0.0,0.0,25.239913428483835
10297,2,46,M,Y,N,F,M,O,O,747.0,0.0,25.239913428483835
10298,1,63,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10298,2,60,M,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10298,3,38,M,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10298,4,37,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10298,5,31,M,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10298,6,20,M,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10298,7,13,F,N,N,O,O,O,S,0.0,759.0,18.945427827764085
10298,8,13,M,N,N,O,O,O,S,0.0,758.0,18.945427827764085
10299,1,50,M,Y,N,F,M,O,O,748.0,0.0,26.218170332674458
10299,2,34,F,Y,N,O,O,O,O,0.0,0.0,26.218170332674458
10299,3,14,F,N,N,O,O,O,S,0.0,758.0,26.218170332674458
10299,4,12,F,N,N,O,O,O,S,0.0,758.0,26.218170332674458
10300,1,40,M,Y,N,F,M,O,O,751.0,0.0,21.158678742222506
10300,3,16,M,N,N,F,M,O,O,759.0,0.0,21.158678742222506
10300,4,13,F,N,N,O,O,O,O,0.0,0.0,21.158678742222506
10301,1,64,F,Y,N,P,P,O,O,645.0,0.0,20.98161866906583
10301,2,42,M,Y,N,F,M,O,O,759.0,0.0,20.98161866906583
10302,1,43,M,Y,N,F,S,O,O,759.0,0.0,18.945427827764085
10302,2,42,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10302,3,16,M,N,N,O,O,O,S,0.0,758.0,18.945427827764085
10303,1,41,M,Y,N,F,M,O,O,0.0,0.0,1.0
10303,2,41,F,Y,N,O,O,O,O,0.0,0.0,1.0
10304,1,58,M,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10304,2,56,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10305,1,50,M,Y,N,P,G,O,O,0.0,0.0,18.945427827764085
10305,2,50,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10305,3,19,M,Y,N,F,S,O,O,0.0,0.0,18.945427827764085
10305,4,18,F,Y,N,O,O,O,S,0.0,758.0,18.945427827764085
10306,1,42,M,Y,N,F,M,O,O,635.0,0.0,20.98161866906583
10306,2,38,F,Y,N,O,O,O,O,0.0,0.0,20.98161866906583
10306,3,10,M,N,N,O,O,O,S,0.0,758.0,20.98161866906583
10307,1,32,M,Y,N,F,M,O,O,758.0,0.0,19.454475538089522
10307,2,36,F,Y,N,F,S,O,O,611.0,0.0,19.454475538089522
10307,3,14,M,N,N,O,O,O,S,0.0,758.0,19.454475538089522
10307,4,12,M,N,N,O,O,O,S,0.0,758.0,19.454475538089522
10308,1,47,M,Y,N,F,S,O,O,758.0,0.0,18.945427827764085
10308,2,46,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10309,1,41,M,Y,N,F,M,O,O,623.0,0.0,29.30288297343006
10309,2,40,F,Y,N,O,O,O,O,0.0,0.0,29.30288297343006
10309,3,20,M,Y,N,F,M,O,O,715.0,0.0,29.30288297343006
10309,4,18,F,Y,N,O,O,O,O,0.0,0.0,29.30288297343006
10309,5,17,M,N,N,O,O,O,S,0.0,758.0,29.30288297343006
10310,1,57,M,Y,N,F,S,O,O,635.0,0.0,23.017809510367577
10310,2,56,F,Y,N,O,O,O,O,0.0,0.0,23.017809510367577
10310,3,19,M,Y,N,O,O,O,O,0.0,0.0,23.017809510367577
10310,4,15,F,N,N,O,O,O,O,0.0,0.0,23.017809510367577
10311,1,76,F,Y,N,O,O,O,O,0.0,0.0,24.128861469425708
10311,2,70,F,Y,N,O,O,O,O,0.0,0.0,24.128861469425708
10311,3,41,M,Y,N,F,M,O,O,733.0,0.0,24.128861469425708
10311,4,39,F,Y,N,O,O,O,O,0.0,0.0,24.128861469425708
10311,5,18,F,Y,N,O,O,O,S,0.0,758.0,24.128861469425708
10312,1,42,M,Y,N,F,M,O,O,753.0,0.0,23.017809510367577
10312,2,41,F,Y,N,O,O,O,O,0.0,0.0,23.017809510367577
10312,3,19,M,Y,N,F,M,O,O,753.0,0.0,23.017809510367577
10313,1,64,M,Y,N,O,O,O,O,0.0,0.0,1.0
10314,1,43,M,Y,N,F,M,O,O,592.0,0.0,37.4288220633225
10315,1,33,M,Y,N,F,M,O,O,758.0,0.0,20.302888388631917
10315,2,33,F,Y,N,O,O,O,O,0.0,0.0,20.302888388631917
10315,3,23,M,Y,N,F,M,O,O,83.0,0.0,20.302888388631917
10315,4,18,F,Y,N,O,O,O,O,0.0,0.0,20.302888388631917
10315,5,9,M,N,N,O,O,O,S,0.0,758.0,20.302888388631917
10316,1,47,F,Y,N,O,O,O,O,0.0,0.0,25.85667268331291
10316,2,42,M,Y,N,F,G,O,O,724.0,0.0,25.85667268331291
10316,3,16,M,N,N,O,O,O,S,0.0,739.0,25.85667268331291
10317,1,49,F,Y,N,O,O,O,O,0.0,0.0,20.98161866906583
10317,2,26,M,Y,N,O,O,O,O,0.0,0.0,20.98161866906583
10318,1,34,M,Y,N,P,M,O,O,709.0,0.0,20.98161866906583
10318,2,32,F,Y,N,O,O,O,O,0.0,0.0,20.98161866906583
10318,3,15,M,N,N,O,O,O,S,0.0,758.0,20.98161866906583
10319,1,40,M,Y,N,F,M,O,O,758.0,0.0,23.017809510367577
10319,2,38,F,Y,N,O,O,O,O,0.0,0.0,23.017809510367577
10320,1,71,M,Y,N,O,O,O,O,0.0,0.0,1.0
10320,2,64,F,Y,N,O,O,O,O,0.0,0.0,1.0
10321,1,36,M,Y,N,F,M,O,O,700.0,0.0,25.939300717452696
10321,2,35,F,Y,N,O,O,O,O,0.0,0.0,25.939300717452696
10321,3,19,F,Y,N,O,O,O,S,0.0,558.0,25.939300717452696
10321,4,17,M,N,N,O,O,O,O,0.0,0.0,25.939300717452696
10322,1,79,M,Y,N,O,O,O,O,0.0,0.0,1.0
10322,2,79,F,Y,N,O,O,O,O,0.0,0.0,1.0
10323,1,38,M,Y,N,F,M,O,O,698.0,0.0,23.56627638665369
10323,2,37,F,Y,N,O,O,O,O,0.0,0.0,23.56627638665369
10323,3,15,M,N,N,O,O,O,S,0.0,758.0,23.56627638665369
10323,4,13,M,N,N,O,O,O,S,0.0,758.0,23.56627638665369
10323,5,11,M,N,N,O,O,O,S,0.0,758.0,23.56627638665369
10324,1,72,M,Y,N,O,O,O,O,0.0,0.0,20.302888388631917
10324,2,65,F,Y,N,O,O,O,O,0.0,0.0,20.302888388631917
10324,3,37,F,Y,N,O,O,O,O,0.0,0.0,20.302888388631917
10324,4,15,F,N,N,O,O,O,S,0.0,758.0,20.302888388631917
10324,5,11,M,N,N,O,O,O,S,0.0,758.0,20.302888388631917
10325,1,55,M,Y,N,F,M,O,O,747.0,0.0,27.27610426978558
10325,2,43,F,Y,N,O,O,O,O,0.0,0.0,27.27610426978558
10325,3,20,M,Y,N,O,O,O,S,0.0,614.0,27.27610426978558
10325,4,16,M,N,N,O,O,O,S,0.0,0.0,27.27610426978558
10326,1,45,M,Y,N,F,M,O,O,699.0,0.0,29.30288297343006
10326,2,45,F,Y,N,O,O,O,O,0.0,0.0,29.30288297343006
10326,3,21,M,Y,N,F,M,O,O,699.0,0.0,29.30288297343006
10326,4,11,M,N,N,O,O,O,S,0.0,759.0,29.30288297343006
10327,1,20,M,Y,N,F,M,O,O,737.0,0.0,37.4288220633225
10327,2,18,F,Y,N,O,O,O,O,0.0,0.0,37.4288220633225
10328,1,43,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10328,2,41,M,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10328,3,11,M,N,N,O,O,O,S,0.0,758.0,18.945427827764085
10328,4,7,F,N,N,O,O,O,S,0.0,758.0,18.945427827764085
10329,1,37,M,Y,N,F,M,O,O,698.0,0.0,24.499212122445083
10329,2,36,F,Y,N,O,O,O,O,0.0,0.0,24.499212122445083
10329,3,18,M,Y,N,O,O,O,S,0.0,614.0,24.499212122445083
10329,4,8,F,N,N,O,O,O,S,0.0,758.0,24.499212122445083
