HouseholdId,HouseholdZone,ExpansionFactor,NumberOfPersons,DwellingType,Vehicles,IncomeClass,MACROZONA,MUNICIPIO,NumberOfFormalWorkers,NumberOfInformalWorkers,NumberOfLicenses,DistanceEmployment,DistanceSchool,ZONA,AREA,POBTOT,ZoneDensity
0,538,74.30346407523744,4,1,0,2,141.0,Pesquería,0,2,4,7.747,-1.0,538,1.676373,2760,1646.4116279610803
1,538,67.5081900102371,6,1,0,4,141.0,Pesquería,0,2,3,1.784,1.02,538,1.676373,2760,1646.4116279610803
2,538,61.15746658500313,4,1,0,2,141.0,Pesquería,0,1,2,0.431582746,-1.0,538,1.676373,2760,1646.4116279610803
3,538,74.30346407523744,5,1,1,4,141.0,Pesquería,1,1,3,11.2391065,-1.0,538,1.676373,2760,1646.4116279610803
4,538,67.73046533012028,3,1,0,3,141.0,Pesquería,0,0,1,-1.0,2.548,538,1.676373,2760,1646.4116279610803
5,536,61.15746658500313,2,1,0,2,141.0,Pesquería,0,0,2,-1.0,-1.0,536,0.710826,1335,1878.0967494154688
6,538,61.15746658500313,2,1,0,3,141.0,Pesquería,0,1,2,1.02,-1.0,538,1.676373,2760,1646.4116279610803
7,538,97.5634565830819,2,1,0,2,141.0,Pesquería,2,0,2,25.72535,-1.0,538,1.676373,2760,1646.4116279610803
8,538,67.73046533012028,2,1,0,2,141.0,Pesquería,0,1,2,37.779,-1.0,538,1.676373,2760,1646.4116279610803
9,538,61.15746658500313,2,2,0,2,141.0,Pesquería,0,1,1,0.431582746,-1.0,538,1.676373,2760,1646.4116279610803
10,538,68.15913916132358,2,1,0,2,141.0,Pesquería,1,0,2,6.844213,-1.0,538,1.676373,2760,1646.4116279610803
11,538,1.0,2,1,0,2,141.0,Pesquería,0,1,2,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
12,674,143.48101546280657,2,1,2,6,31.0,General Escobedo,2,0,2,10.7374875,-1.0,674,0.852676,9182,10768.451322659486
13,755,7.151101502673767,2,1,0,4,91.0,Abasolo,1,0,2,2.948,-1.0,755,1.527666,1992,1303.949947174317
14,755,11.628270082771238,1,1,1,4,91.0,Abasolo,1,0,1,29.234,-1.0,755,1.527666,1992,1303.949947174317
15,755,9.797009058663065,2,1,2,4,91.0,Abasolo,0,1,2,0.411995955,-1.0,755,1.527666,1992,1303.949947174317
16,755,5.885906621431485,3,1,0,3,91.0,Abasolo,0,0,3,-1.0,-1.0,755,1.527666,1992,1303.949947174317
17,755,11.628270082771238,6,1,0,4,91.0,Abasolo,2,1,5,0.4,-1.0,755,1.527666,1992,1303.949947174317
18,755,9.389685792722505,2,1,2,5,91.0,Abasolo,1,0,2,17.634,-1.0,755,1.527666,1992,1303.949947174317
19,755,6.729369875593007,6,1,1,5,91.0,Abasolo,2,0,4,14.49,8.87,755,1.527666,1992,1303.949947174317
20,755,1.0,2,1,1,4,91.0,Abasolo,0,0,2,-1.0,-1.0,755,1.527666,1992,1303.949947174317
21,755,1.0,2,1,2,5,91.0,Abasolo,1,1,2,-1.0,-1.0,755,1.527666,1992,1303.949947174317
22,755,1.0,2,1,1,2,91.0,Abasolo,0,0,2,-1.0,-1.0,755,1.527666,1992,1303.949947174317
23,755,9.797009058663065,2,1,1,3,91.0,Abasolo,1,0,2,2.948,-1.0,755,1.527666,1992,1303.949947174317
24,755,1.0,1,1,2,5,91.0,Abasolo,1,0,1,-1.0,-1.0,755,1.527666,1992,1303.949947174317
25,755,11.012696314117605,2,1,1,4,91.0,Abasolo,0,2,2,10.7,-1.0,755,1.527666,1992,1303.949947174317
26,755,1.0,1,1,1,4,91.0,Abasolo,0,0,1,-1.0,-1.0,755,1.527666,1992,1303.949947174317
27,755,8.18526079690659,4,1,3,5,91.0,Abasolo,2,0,4,24.980815,28.21573,755,1.527666,1992,1303.949947174317
28,755,9.797009058663065,4,1,2,5,91.0,Abasolo,0,2,4,6.928,-1.0,755,1.527666,1992,1303.949947174317
29,755,5.885906621431485,2,1,0,3,91.0,Abasolo,0,1,2,-1.0,-1.0,755,1.527666,1992,1303.949947174317
30,626,105.2946025883707,4,1,2,6,31.0,General Escobedo,0,0,2,1.833042,7.299,626,0.409576,3941,9622.14582885716
31,626,136.9017811771267,3,1,2,6,31.0,General Escobedo,0,1,1,-1.0,0.213327083,626,0.409576,3941,9622.14582885716
32,535,90.99045783796474,3,1,0,2,141.0,Pesquería,1,0,1,15.014,0.311270336,535,0.872003,1987,2278.6618853375503
33,535,81.47660618403921,3,1,1,3,141.0,Pesquería,1,0,2,9.616213,-1.0,535,0.872003,1987,2278.6618853375503
34,535,90.99045783796474,2,1,0,2,141.0,Pesquería,1,0,2,17.848,-1.0,535,0.872003,1987,2278.6618853375503
35,535,61.15746658500313,2,1,1,4,141.0,Pesquería,0,1,2,-1.0,-1.0,535,0.872003,1987,2278.6618853375503
36,535,67.73046533012028,4,1,1,4,141.0,Pesquería,1,0,2,16.314,-1.0,535,0.872003,1987,2278.6618853375503
37,535,74.30346407523744,2,1,1,4,141.0,Pesquería,0,1,2,6.224213,-1.0,535,0.872003,1987,2278.6618853375503
38,535,68.30203043839134,3,1,0,3,141.0,Pesquería,0,1,2,0.311270336,0.311270336,535,0.872003,1987,2278.6618853375503
39,535,74.30346407523744,2,1,1,4,141.0,Pesquería,0,1,2,16.314,-1.0,535,0.872003,1987,2278.6618853375503
40,535,100.9347882556186,4,1,1,4,141.0,Pesquería,2,0,2,16.314,0.311270336,535,0.872003,1987,2278.6618853375503
41,535,75.44659429177956,3,1,0,2,141.0,Pesquería,0,0,1,-1.0,0.311270336,535,0.872003,1987,2278.6618853375503
42,535,101.79574578307532,2,1,1,4,141.0,Pesquería,0,1,2,32.23803,-1.0,535,0.872003,1987,2278.6618853375503
43,535,114.42733467586568,1,1,1,3,141.0,Pesquería,1,0,1,-1.0,-1.0,535,0.872003,1987,2278.6618853375503
44,535,74.30346407523744,2,1,0,2,141.0,Pesquería,0,0,2,-1.0,-1.0,535,0.872003,1987,2278.6618853375503
45,535,61.15746658500313,1,1,0,2,141.0,Pesquería,0,0,1,-1.0,-1.0,535,0.872003,1987,2278.6618853375503
46,535,67.73046533012028,5,1,1,4,141.0,Pesquería,1,0,4,16.314,0.311270336,535,0.872003,1987,2278.6618853375503
47,535,108.11154022947048,2,1,2,5,141.0,Pesquería,0,2,2,11.907,-1.0,535,0.872003,1987,2278.6618853375503
48,535,75.44659429177956,2,1,0,2,141.0,Pesquería,0,0,2,-1.0,-1.0,535,0.872003,1987,2278.6618853375503
49,535,120.82344909092636,2,1,1,3,141.0,Pesquería,1,0,2,8.061,-1.0,535,0.872003,1987,2278.6618853375503
50,535,88.62117003742743,3,1,1,4,141.0,Pesquería,0,1,1,-1.0,0.311270336,535,0.872003,1987,2278.6618853375503
51,535,61.15746658500313,2,1,0,1,141.0,Pesquería,0,0,2,-1.0,-1.0,535,0.872003,1987,2278.6618853375503
52,535,74.30346407523744,5,1,1,6,141.0,Pesquería,1,0,2,12.561,-1.0,535,0.872003,1987,2278.6618853375503
53,535,61.15746658500313,1,1,0,3,141.0,Pesquería,0,0,1,-1.0,-1.0,535,0.872003,1987,2278.6618853375503
54,535,61.15746658500313,2,1,1,3,141.0,Pesquería,0,0,2,-1.0,-1.0,535,0.872003,1987,2278.6618853375503
55,535,74.30346407523744,3,1,2,4,141.0,Pesquería,0,1,2,16.314,16.314,535,0.872003,1987,2278.6618853375503
56,535,74.8750291835085,3,1,1,3,141.0,Pesquería,0,0,1,-1.0,8.312635168,535,0.872003,1987,2278.6618853375503
57,535,61.15746658500313,1,1,0,2,141.0,Pesquería,0,0,1,-1.0,-1.0,535,0.872003,1987,2278.6618853375503
58,535,61.15746658500313,1,1,0,2,141.0,Pesquería,1,0,1,-1.0,-1.0,535,0.872003,1987,2278.6618853375503
59,535,1.0,1,1,0,2,141.0,Pesquería,0,0,1,-1.0,-1.0,535,0.872003,1987,2278.6618853375503
60,535,90.99045783796474,2,1,0,2,141.0,Pesquería,1,0,2,16.314,-1.0,535,0.872003,1987,2278.6618853375503
61,535,61.15746658500313,3,1,0,2,141.0,Pesquería,0,0,3,-1.0,-1.0,535,0.872003,1987,2278.6618853375503
62,634,147.9320688622002,4,1,3,6,31.0,General Escobedo,0,4,4,3.654,3.654,634,0.554918,2800,5045.790549234301
63,634,125.67680186523204,3,1,1,5,31.0,General Escobedo,0,1,2,-1.0,14.48973,634,0.554918,2800,5045.790549234301
64,634,124.62949518302176,3,1,3,6,31.0,General Escobedo,1,1,3,12.64804,15.48148,634,0.554918,2800,5045.790549234301
65,634,147.9320688622002,3,1,3,6,31.0,General Escobedo,1,1,3,9.4665455,9.699545,634,0.554918,2800,5045.790549234301
66,634,147.0418581823215,4,1,1,6,31.0,General Escobedo,1,1,3,7.034673,3.056,634,0.554918,2800,5045.790549234301
67,538,61.15746658500313,1,1,0,1,141.0,Pesquería,0,0,1,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
68,538,67.73046533012028,3,1,1,3,141.0,Pesquería,0,1,2,18.468,-1.0,538,1.676373,2760,1646.4116279610803
69,538,74.30346407523744,3,1,0,2,141.0,Pesquería,1,0,2,16.8747,1.02,538,1.676373,2760,1646.4116279610803
70,538,74.30346407523744,4,1,1,5,141.0,Pesquería,0,1,3,-1.0,17.768,538,1.676373,2760,1646.4116279610803
71,538,101.79574578307532,1,1,1,4,141.0,Pesquería,1,0,1,1.02,-1.0,538,1.676373,2760,1646.4116279610803
72,538,88.62117003742743,7,1,1,3,141.0,Pesquería,1,0,4,18.468,0.431582746,538,1.676373,2760,1646.4116279610803
73,538,74.30346407523744,2,1,0,2,141.0,Pesquería,0,1,2,7.747,-1.0,538,1.676373,2760,1646.4116279610803
74,538,93.32615362926327,6,1,1,4,141.0,Pesquería,2,0,5,10.799,7.100499999999999,538,1.676373,2760,1646.4116279610803
75,538,74.30346407523744,2,1,0,2,141.0,Pesquería,1,0,2,15.634,-1.0,538,1.676373,2760,1646.4116279610803
76,538,61.15746658500313,2,1,0,2,141.0,Pesquería,0,1,2,0.431582746,-1.0,538,1.676373,2760,1646.4116279610803
77,538,97.5634565830819,5,1,0,4,141.0,Pesquería,1,1,3,11.2391065,-1.0,538,1.676373,2760,1646.4116279610803
78,538,74.30346407523744,3,1,0,3,141.0,Pesquería,1,0,2,6.844213,-1.0,538,1.676373,2760,1646.4116279610803
79,538,101.79574578307532,1,1,0,2,141.0,Pesquería,0,1,1,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
80,538,74.30346407523744,3,1,1,4,141.0,Pesquería,0,1,2,0.431582746,1.02,538,1.676373,2760,1646.4116279610803
81,538,85.93346032915967,2,1,0,2,141.0,Pesquería,1,0,2,16.8747,-1.0,538,1.676373,2760,1646.4116279610803
82,538,61.15746658500313,3,1,0,2,141.0,Pesquería,0,1,2,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
83,538,61.15746658500313,2,1,0,2,141.0,Pesquería,0,0,2,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
84,538,75.44659429177956,2,1,0,2,141.0,Pesquería,1,0,2,1.02,-1.0,538,1.676373,2760,1646.4116279610803
85,538,74.30346407523744,2,1,0,2,141.0,Pesquería,0,0,1,-1.0,1.02,538,1.676373,2760,1646.4116279610803
86,538,69.68117837156359,5,1,0,2,141.0,Pesquería,1,0,2,16.8747,0.431582746,538,1.676373,2760,1646.4116279610803
87,538,97.5634565830819,4,1,0,4,141.0,Pesquería,1,1,4,17.692999999999998,-1.0,538,1.676373,2760,1646.4116279610803
88,538,74.30346407523744,3,1,0,2,141.0,Pesquería,0,0,3,-1.0,13.181,538,1.676373,2760,1646.4116279610803
89,538,107.59442423323895,4,1,0,2,141.0,Pesquería,1,0,3,7.747,-1.0,538,1.676373,2760,1646.4116279610803
90,538,67.73046533012028,2,1,0,2,141.0,Pesquería,0,0,1,-1.0,0.431582746,538,1.676373,2760,1646.4116279610803
91,538,1.0,2,1,1,2,141.0,Pesquería,0,0,2,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
92,538,90.99045783796474,2,1,0,2,141.0,Pesquería,2,0,2,9.449791373,-1.0,538,1.676373,2760,1646.4116279610803
93,538,114.42733467586568,1,1,1,4,141.0,Pesquería,0,0,1,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
94,538,64.72974851169724,5,1,1,4,141.0,Pesquería,1,0,2,1.02,0.7257913730000001,538,1.676373,2760,1646.4116279610803
95,538,120.82344909092636,1,1,0,2,141.0,Pesquería,1,0,1,15.634,-1.0,538,1.676373,2760,1646.4116279610803
96,538,61.15746658500313,1,1,0,2,141.0,Pesquería,0,1,1,2.548,-1.0,538,1.676373,2760,1646.4116279610803
97,538,74.8750291835085,3,1,0,3,141.0,Pesquería,0,2,2,1.02,1.02,538,1.676373,2760,1646.4116279610803
98,538,74.30346407523744,2,1,1,4,141.0,Pesquería,0,0,2,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
99,538,94.36539937555156,4,1,1,3,141.0,Pesquería,2,0,3,10.299,-1.0,538,1.676373,2760,1646.4116279610803
100,538,74.30346407523744,5,1,0,4,141.0,Pesquería,1,0,3,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
101,538,97.5634565830819,5,1,0,4,141.0,Pesquería,3,0,5,20.86133333333333,-1.0,538,1.676373,2760,1646.4116279610803
102,538,114.42733467586568,1,1,1,2,141.0,Pesquería,0,0,1,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
103,538,77.89003512963833,5,1,1,4,141.0,Pesquería,0,3,4,18.25613333333333,0.431582746,538,1.676373,2760,1646.4116279610803
104,538,74.30346407523744,2,1,0,2,141.0,Pesquería,0,0,2,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
105,538,74.30346407523744,2,1,0,2,141.0,Pesquería,0,1,2,16.8747,-1.0,538,1.676373,2760,1646.4116279610803
106,538,120.82344909092636,4,1,0,2,141.0,Pesquería,1,0,2,15.634,-1.0,538,1.676373,2760,1646.4116279610803
107,538,120.82344909092636,2,1,0,2,141.0,Pesquería,1,0,2,7.747,-1.0,538,1.676373,2760,1646.4116279610803
108,538,61.15746658500313,2,1,0,2,141.0,Pesquería,0,1,2,0.431582746,-1.0,538,1.676373,2760,1646.4116279610803
109,538,61.15746658500313,1,1,0,2,141.0,Pesquería,0,0,1,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
110,538,101.79574578307532,1,1,1,5,141.0,Pesquería,1,0,1,6.844213,-1.0,538,1.676373,2760,1646.4116279610803
111,82,1.0,2,1,0,3,81.0,Hidalgo,0,0,2,-1.0,-1.0,82,3.03788,3580,1178.453395130815
112,83,11.494793404597338,2,1,0,2,81.0,Hidalgo,0,0,2,-1.0,-1.0,83,1.922186,3247,1689.22258303827
113,79,11.494793404597338,1,1,1,2,81.0,Hidalgo,0,1,1,0.405,-1.0,79,0.613781,1670,2720.8401693763735
114,83,11.494793404597338,2,1,1,3,81.0,Hidalgo,0,1,2,0.462143075,-1.0,83,1.922186,3247,1689.22258303827
115,83,16.500937074263096,3,1,2,4,81.0,Hidalgo,1,0,3,-1.0,-1.0,83,1.922186,3247,1689.22258303827
116,650,86.20139615115275,2,1,1,4,31.0,General Escobedo,1,0,2,1.624,-1.0,650,0.436337,4655,10668.35954778073
117,634,146.02447454817437,3,1,2,6,31.0,General Escobedo,0,2,2,10.7801,-1.0,634,0.554918,2800,5045.790549234301
118,83,11.494793404597338,2,1,0,2,81.0,Hidalgo,0,0,2,-1.0,-1.0,83,1.922186,3247,1689.22258303827
119,79,19.13292247998865,2,1,1,4,81.0,Hidalgo,1,0,2,12.515,-1.0,79,0.613781,1670,2720.8401693763735
120,385,23.02455806508727,4,1,0,4,161.0,Santiago,0,2,3,7.545214,2.463,385,3.140263,2109,671.5997991251052
121,385,24.129736852211455,2,1,0,2,161.0,Santiago,0,2,2,1.653346454,-1.0,385,3.140263,2109,671.5997991251052
122,385,36.87613219704377,1,1,1,3,161.0,Santiago,0,1,1,0.590692908,-1.0,385,3.140263,2109,671.5997991251052
123,385,19.709021703714704,1,1,1,3,161.0,Santiago,0,1,1,0.590692908,-1.0,385,3.140263,2109,671.5997991251052
124,385,30.48393320832726,3,1,2,4,161.0,Santiago,1,2,3,1.214795272,-1.0,385,3.140263,2109,671.5997991251052
125,385,22.886410716696744,3,1,0,2,161.0,Santiago,0,2,2,7.545214,8.793,385,3.140263,2109,671.5997991251052
126,385,24.074477912855247,3,1,0,2,161.0,Santiago,1,1,2,4.095,0.590692908,385,3.140263,2109,671.5997991251052
127,385,24.841963181691494,4,1,1,3,161.0,Santiago,1,0,2,0.783,4.735846454,385,3.140263,2109,671.5997991251052
128,385,19.709021703714704,1,1,0,2,161.0,Santiago,0,0,1,-1.0,-1.0,385,3.140263,2109,671.5997991251052
129,385,32.805390331136344,1,1,1,2,161.0,Santiago,0,1,1,4.095,-1.0,385,3.140263,2109,671.5997991251052
130,83,1.0,2,1,0,2,81.0,Hidalgo,0,0,2,-1.0,-1.0,83,1.922186,3247,1689.22258303827
131,83,19.13292247998865,1,1,1,4,81.0,Hidalgo,1,0,1,30.48473,-1.0,83,1.922186,3247,1689.22258303827
132,83,19.13292247998865,2,1,1,3,81.0,Hidalgo,1,0,2,38.53898,-1.0,83,1.922186,3247,1689.22258303827
133,83,15.313857942292996,3,1,2,5,81.0,Hidalgo,2,0,3,28.49555,-1.0,83,1.922186,3247,1689.22258303827
134,154,19.709021703714704,1,1,1,4,161.0,Santiago,0,0,1,-1.0,-1.0,154,0.51223,1618,3158.737285984812
135,83,21.507080743928853,4,1,3,6,81.0,Hidalgo,1,1,4,-1.0,-1.0,83,1.922186,3247,1689.22258303827
136,83,11.494793404597338,3,1,1,4,81.0,Hidalgo,1,0,3,-1.0,-1.0,83,1.922186,3247,1689.22258303827
137,83,1.0,2,1,1,2,81.0,Hidalgo,0,0,2,-1.0,-1.0,83,1.922186,3247,1689.22258303827
138,83,22.10816854153326,2,1,1,3,81.0,Hidalgo,1,0,2,45.91512,-1.0,83,1.922186,3247,1689.22258303827
139,83,11.494793404597338,3,1,1,4,81.0,Hidalgo,1,0,3,0.462143075,-1.0,83,1.922186,3247,1689.22258303827
140,151,32.805390331136344,3,1,3,6,161.0,Santiago,1,1,3,6.35129,-1.0,151,0.910693,3518,3862.99224876001
141,150,32.68873257027324,3,1,3,6,161.0,Santiago,2,0,3,6.259,-1.0,150,1.15405,2727,2362.9825397513105
142,151,19.709021703714704,2,1,1,4,161.0,Santiago,0,1,2,-1.0,-1.0,151,0.910693,3518,3862.99224876001
143,150,19.709021703714704,1,1,1,3,161.0,Santiago,0,1,1,51.857,-1.0,150,1.15405,2727,2362.9825397513105
144,150,19.709021703714704,1,1,1,4,161.0,Santiago,0,0,1,-1.0,-1.0,150,1.15405,2727,2362.9825397513105
145,150,1.0,2,1,1,5,161.0,Santiago,0,0,2,-1.0,-1.0,150,1.15405,2727,2362.9825397513105
146,82,15.23294771611078,5,1,1,4,81.0,Hidalgo,1,1,2,5.3855,2.089,82,3.03788,3580,1178.453395130815
147,82,11.494793404597338,4,1,2,6,81.0,Hidalgo,1,1,3,5.3295,-1.0,82,3.03788,3580,1178.453395130815
148,82,11.494793404597338,1,1,0,3,81.0,Hidalgo,0,1,1,-1.0,-1.0,82,3.03788,3580,1178.453395130815
149,82,11.494793404597338,1,1,1,2,81.0,Hidalgo,0,1,1,-1.0,-1.0,82,3.03788,3580,1178.453395130815
150,538,68.30203043839134,6,1,0,4,141.0,Pesquería,0,2,3,1.784,1.02,538,1.676373,2760,1646.4116279610803
151,538,74.30346407523744,4,1,0,2,141.0,Pesquería,1,2,4,7.747,-1.0,538,1.676373,2760,1646.4116279610803
152,538,61.15746658500313,1,1,0,2,141.0,Pesquería,0,0,1,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
153,538,1.0,1,1,0,2,141.0,Pesquería,0,0,1,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
154,538,69.921464911826,3,1,0,3,141.0,Pesquería,0,2,3,8.032791373,-1.0,538,1.676373,2760,1646.4116279610803
155,538,61.15746658500313,2,1,0,4,141.0,Pesquería,0,0,1,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
156,538,68.30203043839134,2,1,0,2,141.0,Pesquería,0,1,2,1.02,-1.0,538,1.676373,2760,1646.4116279610803
157,538,61.15746658500313,4,1,0,2,141.0,Pesquería,0,1,2,0.431582746,-1.0,538,1.676373,2760,1646.4116279610803
158,538,74.30346407523744,5,1,1,4,141.0,Pesquería,2,1,3,11.2391065,-1.0,538,1.676373,2760,1646.4116279610803
159,538,65.53946574841457,4,1,0,2,141.0,Pesquería,0,0,2,-1.0,0.431582746,538,1.676373,2760,1646.4116279610803
160,538,64.44396595756172,2,1,1,4,141.0,Pesquería,1,0,2,0.431582746,-1.0,538,1.676373,2760,1646.4116279610803
161,538,74.68450748075149,3,1,2,5,141.0,Pesquería,0,1,2,3.9321065,1.02,538,1.676373,2760,1646.4116279610803
162,538,61.15746658500313,1,1,0,2,141.0,Pesquería,0,0,1,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
163,538,114.42733467586568,1,1,1,3,141.0,Pesquería,1,0,1,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
164,538,68.30203043839134,2,1,0,2,141.0,Pesquería,0,0,2,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
165,538,61.15746658500313,1,1,0,2,141.0,Pesquería,0,0,1,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
166,538,61.15746658500313,3,1,0,2,141.0,Pesquería,0,1,2,0.431582746,-1.0,538,1.676373,2760,1646.4116279610803
167,538,97.5634565830819,3,1,0,2,141.0,Pesquería,2,0,3,7.2956065,-1.0,538,1.676373,2760,1646.4116279610803
168,538,61.15746658500313,2,1,0,2,141.0,Pesquería,0,0,2,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
169,538,74.30346407523744,2,1,0,2,141.0,Pesquería,1,1,2,25.72535,-1.0,538,1.676373,2760,1646.4116279610803
170,538,67.73046533012028,2,1,0,4,141.0,Pesquería,0,1,2,7.747,-1.0,538,1.676373,2760,1646.4116279610803
171,538,61.15746658500313,2,1,0,2,141.0,Pesquería,0,0,2,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
172,538,61.15746658500313,1,1,0,2,141.0,Pesquería,0,0,1,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
173,650,143.48101546280657,3,1,1,6,31.0,General Escobedo,0,2,3,5.53,5.952809,650,0.436337,4655,10668.35954778073
174,650,104.73066822102668,2,1,1,5,31.0,General Escobedo,0,1,1,16.547,-1.0,650,0.436337,4655,10668.35954778073
175,650,127.932539334608,5,1,2,5,31.0,General Escobedo,1,1,2,4.444157,1.239,650,0.436337,4655,10668.35954778073
176,82,11.494793404597338,2,1,0,1,81.0,Hidalgo,0,0,2,-1.0,-1.0,82,3.03788,3580,1178.453395130815
177,77,12.112504265124766,4,1,1,4,81.0,Hidalgo,0,1,4,1.348,39.0455,77,1.081584,725,670.3131703131703
178,77,17.102024871867506,7,1,1,4,81.0,Hidalgo,3,0,5,24.367,-1.0,77,1.081584,725,670.3131703131703
179,77,15.313857942292996,4,1,1,4,81.0,Hidalgo,1,0,2,11.207,-1.0,77,1.081584,725,670.3131703131703
180,755,8.951712188731625,4,1,1,4,91.0,Abasolo,2,0,3,14.354995,8.582,755,1.527666,1992,1303.949947174317
181,755,11.012696314117605,2,1,2,5,91.0,Abasolo,0,1,2,6.928,-1.0,755,1.527666,1992,1303.949947174317
182,755,9.797009058663065,2,1,2,4,91.0,Abasolo,1,0,2,7.859,-1.0,755,1.527666,1992,1303.949947174317
183,674,104.73066822102668,2,1,1,4,31.0,General Escobedo,1,0,2,36.318,-1.0,674,0.852676,9182,10768.451322659486
184,747,30.365409261628635,1,1,1,4,111.0,Salinas Victoria,0,0,1,-1.0,-1.0,747,2.365617,6821,2883.391521112674
185,747,30.365409261628635,1,1,1,4,111.0,Salinas Victoria,0,1,1,1.969,-1.0,747,2.365617,6821,2883.391521112674
186,621,106.34190927058096,5,1,2,5,31.0,General Escobedo,0,1,2,-1.0,6.079,621,0.881048,7531,8547.774922592185
187,621,130.56423304887994,3,1,2,5,31.0,General Escobedo,0,1,2,0.312880524,4.09892,621,0.881048,7531,8547.774922592185
188,622,123.83119848119716,3,1,1,4,31.0,General Escobedo,1,2,3,2.151,-1.0,622,0.925296,3245,3506.9858726288667
189,622,92.23082976290578,5,1,0,3,31.0,General Escobedo,1,0,3,2.234,0.5024102562499999,622,0.925296,3245,3506.9858726288667
190,622,86.20139615115275,5,1,1,4,31.0,General Escobedo,3,0,3,2.234,-1.0,622,0.925296,3245,3506.9858726288667
191,622,86.20139615115276,6,1,0,4,31.0,General Escobedo,3,0,3,2.234,-1.0,622,0.925296,3245,3506.9858726288667
192,622,161.2852290603811,6,1,1,5,31.0,General Escobedo,1,1,2,-1.0,-1.0,622,0.925296,3245,3506.9858726288667
193,622,97.48008349803256,6,1,0,3,31.0,General Escobedo,2,0,4,10.687,-1.0,622,0.925296,3245,3506.9858726288667
194,622,86.20139615115275,1,1,0,2,31.0,General Escobedo,0,0,1,-1.0,-1.0,622,0.925296,3245,3506.9858726288667
195,622,86.20139615115275,2,1,0,2,31.0,General Escobedo,1,0,2,0.563,-1.0,622,0.925296,3245,3506.9858726288667
196,706,86.20139615115275,1,1,0,1,31.0,General Escobedo,0,1,1,2.33,-1.0,706,0.546176,2155,3945.614600421842
197,709,86.20139615115276,2,1,1,4,31.0,General Escobedo,1,0,2,4.497,-1.0,709,0.902044,3238,3589.6253397838686
198,622,133.7934286523616,5,1,4,6,31.0,General Escobedo,0,3,5,5.583281,5.583281,622,0.925296,3245,3506.9858726288667
199,622,86.20139615115275,2,1,0,2,31.0,General Escobedo,0,1,2,0.563,-1.0,622,0.925296,3245,3506.9858726288667
200,715,150.6027009018364,5,1,2,6,31.0,General Escobedo,0,1,2,2.519,7.760544,715,0.866819,8222,9485.255860796775
201,533,90.99045783796474,2,1,0,3,141.0,Pesquería,1,0,2,15.345,-1.0,533,0.638493,7681,12029.88912955976
202,533,90.99045783796474,2,1,0,3,141.0,Pesquería,1,0,2,15.345,-1.0,533,0.638493,7681,12029.88912955976
203,533,90.99045783796474,2,1,1,4,141.0,Pesquería,1,0,2,15.345,-1.0,533,0.638493,7681,12029.88912955976
204,533,90.99045783796474,3,1,0,3,141.0,Pesquería,1,0,2,15.345,-1.0,533,0.638493,7681,12029.88912955976
205,533,90.99045783796474,2,1,0,3,141.0,Pesquería,1,0,2,16.879,-1.0,533,0.638493,7681,12029.88912955976
206,623,139.65431797011522,4,1,3,6,31.0,General Escobedo,1,0,3,13.01777,3.819,623,0.427369,1352,3163.542512442409
207,623,146.52223294384024,3,1,4,5,31.0,General Escobedo,0,1,3,3.786613,4.49,623,0.427369,1352,3163.542512442409
208,623,143.48101546280657,2,1,1,4,31.0,General Escobedo,1,0,2,3.687,-1.0,623,0.427369,1352,3163.542512442409
209,623,1.0,1,1,1,5,31.0,General Escobedo,0,0,1,-1.0,-1.0,623,0.427369,1352,3163.542512442409
210,623,86.20139615115275,2,1,1,5,31.0,General Escobedo,2,0,2,0.217911552,-1.0,623,0.427369,1352,3163.542512442409
211,623,143.48101546280657,1,1,1,5,31.0,General Escobedo,1,0,1,4.155977,-1.0,623,0.427369,1352,3163.542512442409
212,623,1.0,2,1,1,4,31.0,General Escobedo,0,0,2,-1.0,-1.0,623,0.427369,1352,3163.542512442409
213,622,161.2852290603811,1,1,1,6,31.0,General Escobedo,0,1,1,17.94,-1.0,622,0.925296,3245,3506.9858726288667
214,621,146.02447454817437,3,1,2,6,31.0,General Escobedo,0,1,2,16.64883,4.7022835,621,0.881048,7531,8547.774922592185
