HouseholdId,HouseholdZone,ExpansionFactor,NumberOfPersons,DwellingType,Vehicles,IncomeClass,MACROZONA,MUNICIPIO,NumberOfFormalWorkers,NumberOfInformalWorkers,NumberOfLicenses,DistanceEmployment,DistanceSchool,ZONA,AREA,POBTOT,ZoneDensity
16019,116,119.2488951764449,3,1,1,4,61.0,Juárez,2,0,2,0.379559569,4.857,116,1.160699,5688,4900.495304984324
16020,116,107.47710815980054,5,1,1,4,61.0,Juárez,1,1,2,43.0,9.427039712666668,116,1.160699,5688,4900.495304984324
16021,12,1.0,1,1,1,4,22.0,San Pedro Garza García,1,0,1,-1.0,-1.0,12,2.98168,7861,2636.4331517802048
16022,116,94.79078844388964,3,1,0,4,61.0,Juárez,1,0,2,13.881,-1.0,116,1.160699,5688,4900.495304984324
16023,116,99.20220590608604,2,1,0,2,61.0,Juárez,0,0,2,-1.0,-1.0,116,1.160699,5688,4900.495304984324
16024,116,106.45734702159912,3,1,0,2,61.0,Juárez,0,1,3,37.29,-1.0,116,1.160699,5688,4900.495304984324
16025,116,94.79078844388964,4,1,0,3,61.0,Juárez,1,1,3,19.279000000000003,7.425,116,1.160699,5688,4900.495304984324
16026,12,77.52853870156484,3,1,1,3,22.0,San Pedro Garza García,1,1,3,1.164,-1.0,12,2.98168,7861,2636.4331517802048
16027,714,106.7447195329695,3,1,0,3,31.0,General Escobedo,2,0,3,7.614999999999999,-1.0,714,1.319439,14337,10865.98167857703
16028,422,97.91275126309291,5,1,2,5,11.0,Monterrey,1,0,4,23.21568,12.115,422,2.55241,11577,4535.713306247821
16029,117,129.8633801681288,4,1,2,4,61.0,Juárez,1,0,2,27.32366,2.505,117,0.532568,4074,7649.72735875982
16030,117,126.7488256906867,5,1,1,4,61.0,Juárez,1,1,2,17.083,2.505,117,0.532568,4074,7649.72735875982
16031,117,108.64482675491963,3,1,0,3,61.0,Juárez,1,0,2,22.14,-1.0,117,0.532568,4074,7649.72735875982
16032,569,249.9341302884828,4,1,1,4,18.0,Monterrey,2,0,4,7.714,-1.0,569,3.412614,4761,1395.1182290174042
16033,116,86.66065543504833,5,1,1,4,61.0,Juárez,0,1,3,6.154,0.359119138,116,1.160699,5688,4900.495304984324
16034,116,92.80382768612348,7,1,2,5,61.0,Juárez,1,1,5,2.691059569,0.359119138,116,1.160699,5688,4900.495304984324
16035,116,112.32708430600924,2,2,1,3,61.0,Juárez,0,1,2,18.692,-1.0,116,1.160699,5688,4900.495304984324
16036,116,90.78952343169084,5,1,1,4,61.0,Juárez,1,1,3,5.948,3.892059569,116,1.160699,5688,4900.495304984324
16037,116,90.98092790835638,3,1,1,4,61.0,Juárez,1,0,2,30.779,0.4,116,1.160699,5688,4900.495304984324
16038,116,109.41565294666118,5,1,0,4,61.0,Juárez,1,0,3,8.1905,3.066,116,1.160699,5688,4900.495304984324
16039,116,94.79078844388964,3,1,1,4,61.0,Juárez,1,0,3,-1.0,-1.0,116,1.160699,5688,4900.495304984324
16040,116,140.60633619176963,2,1,1,5,61.0,Juárez,1,0,2,23.37601,-1.0,116,1.160699,5688,4900.495304984324
16041,422,114.30675344852554,5,1,4,6,11.0,Monterrey,4,0,5,8.97889775,-1.0,422,2.55241,11577,4535.713306247821
16042,116,126.0717486303732,4,1,1,5,61.0,Juárez,1,0,3,4.68,9.044458,116,1.160699,5688,4900.495304984324
16043,116,111.09966512231269,5,1,1,5,61.0,Juárez,1,0,2,29.02242,16.692999999999998,116,1.160699,5688,4900.495304984324
16044,116,112.15805178116172,5,1,1,4,61.0,Juárez,2,0,2,12.0684,0.359119138,116,1.160699,5688,4900.495304984324
16045,116,112.32708430600924,7,1,1,6,61.0,Juárez,4,0,5,18.1285,-1.0,116,1.160699,5688,4900.495304984324
16046,116,137.92059718585944,4,1,3,5,61.0,Juárez,1,0,4,21.14266,-1.0,116,1.160699,5688,4900.495304984324
16047,116,97.09979482906132,5,1,1,4,61.0,Juárez,2,1,4,19.248,17.363,116,1.160699,5688,4900.495304984324
16048,116,111.39480127680834,3,1,1,4,61.0,Juárez,1,1,2,22.97171,4.857,116,1.160699,5688,4900.495304984324
16049,116,120.27897822546883,3,1,2,6,61.0,Juárez,1,0,3,15.993,-1.0,116,1.160699,5688,4900.495304984324
16050,116,94.79078844388964,5,1,0,4,61.0,Juárez,3,0,5,18.637006666666668,7.196,116,1.160699,5688,4900.495304984324
16051,116,112.5822902748966,3,1,0,2,61.0,Juárez,0,0,3,-1.0,-1.0,116,1.160699,5688,4900.495304984324
16052,123,81.68180500518659,6,1,1,4,62.0,Juárez,1,0,2,11.53506,0.51944794625,123,0.772275,7300,9452.591369654592
16053,176,75.59702530928966,6,1,1,4,62.0,Juárez,1,0,4,9.497,0.263854758,176,0.626574,7575,12089.553668042403
16054,176,98.75234981743984,4,1,1,4,62.0,Juárez,1,0,2,44.66383,4.8607395,176,0.626574,7575,12089.553668042403
16055,176,77.93954981198762,4,1,1,4,62.0,Juárez,2,0,2,33.9485,16.437,176,0.626574,7575,12089.553668042403
16056,176,75.57774527223042,4,1,0,4,62.0,Juárez,1,0,2,9.497,1.871927379,176,0.626574,7575,12089.553668042403
16057,176,84.85144309772603,4,1,1,4,62.0,Juárez,1,1,2,31.68244,3.48,176,0.626574,7575,12089.553668042403
16058,176,82.45107848385035,5,1,0,2,62.0,Juárez,1,0,2,24.83477,0.263854758,176,0.626574,7575,12089.553668042403
16059,176,91.85009655023106,4,1,0,4,62.0,Juárez,2,1,3,27.249,1.96,176,0.626574,7575,12089.553668042403
16060,176,99.25363078098016,4,1,1,5,62.0,Juárez,2,0,3,36.291,-1.0,176,0.626574,7575,12089.553668042403
16061,176,64.54956407434375,4,1,0,3,62.0,Juárez,1,0,2,30.89,0.263854758,176,0.626574,7575,12089.553668042403
16062,176,75.19214453104557,2,1,0,3,62.0,Juárez,1,0,2,5.965,-1.0,176,0.626574,7575,12089.553668042403
16063,176,84.85144309772603,4,1,1,4,62.0,Juárez,0,1,3,9.249,4.92,176,0.626574,7575,12089.553668042403
16064,176,91.79225643905332,4,1,0,4,62.0,Juárez,1,1,3,21.8325,18.774,176,0.626574,7575,12089.553668042403
16065,180,61.88891896016828,2,1,0,2,62.0,Juárez,0,0,2,-1.0,-1.0,180,0.648768,7519,11589.6591693795
16066,176,85.34308404273673,3,1,0,4,62.0,Juárez,1,0,3,27.626,-1.0,176,0.626574,7575,12089.553668042403
16067,176,82.45107848385035,4,1,1,4,62.0,Juárez,1,0,2,9.978,0.263854758,176,0.626574,7575,12089.553668042403
16068,176,72.5314994168701,5,1,0,4,62.0,Juárez,0,2,3,18.196,3.041427379,176,0.626574,7575,12089.553668042403
16069,176,90.87990479816472,4,1,0,2,62.0,Juárez,1,0,2,25.072,1.871927379,176,0.626574,7575,12089.553668042403
16070,714,86.20139615115275,2,1,1,3,31.0,General Escobedo,0,0,2,-1.0,-1.0,714,1.319439,14337,10865.98167857703
16071,422,77.71929123287637,5,1,5,5,11.0,Monterrey,3,0,5,5.253929,-1.0,422,2.55241,11577,4535.713306247821
16072,176,89.102691269289,5,1,1,4,62.0,Juárez,1,0,2,33.734,20.707,176,0.626574,7575,12089.553668042403
16073,176,100.7923807061478,3,1,0,3,62.0,Juárez,3,0,3,26.67933333333333,-1.0,176,0.626574,7575,12089.553668042403
16074,176,103.01323800753244,5,1,2,5,62.0,Juárez,1,0,2,32.07689,2.72,176,0.626574,7575,12089.553668042403
16075,176,82.51855861355772,4,1,0,4,62.0,Juárez,1,0,2,33.634,42.318,176,0.626574,7575,12089.553668042403
16076,176,89.39189182517764,4,1,1,4,62.0,Juárez,1,0,2,48.284,3.48,176,0.626574,7575,12089.553668042403
16077,176,89.22801151017408,4,1,1,4,62.0,Juárez,1,0,2,12.126,8.0985,176,0.626574,7575,12089.553668042403
16078,176,89.10269126928901,3,1,1,3,62.0,Juárez,2,0,2,15.637,-1.0,176,0.626574,7575,12089.553668042403
16079,176,95.57114370266486,3,1,0,2,62.0,Juárez,1,0,3,33.215,-1.0,176,0.626574,7575,12089.553668042403
16080,176,77.25335576574277,5,1,1,5,62.0,Juárez,1,0,2,18.477,2.407951586,176,0.626574,7575,12089.553668042403
16081,176,61.88891896016828,6,1,0,3,62.0,Juárez,0,0,2,-1.0,1.96,176,0.626574,7575,12089.553668042403
16082,176,75.19214453104557,4,1,1,4,62.0,Juárez,2,1,4,15.141333333333334,-1.0,176,0.626574,7575,12089.553668042403
16083,176,61.88891896016828,7,1,0,4,62.0,Juárez,0,1,5,-1.0,-1.0,176,0.626574,7575,12089.553668042403
16084,6,37.63150530104431,3,1,1,4,24.0,San Pedro Garza García,1,0,2,6.363,-1.0,6,2.30674,25948,11248.775327952002
16085,6,1.0,2,1,1,4,24.0,San Pedro Garza García,0,0,2,-1.0,-1.0,6,2.30674,25948,11248.775327952002
16086,464,88.1119871535517,1,1,1,4,11.0,Monterrey,0,0,1,-1.0,-1.0,464,2.396564,2588,1079.8793606179513
16087,121,97.32471381516297,4,1,2,5,62.0,Juárez,2,1,3,19.1305,2.630489,121,0.796604,10381,13031.569010449359
16088,121,64.11353862085011,5,1,1,4,62.0,Juárez,1,0,2,38.928,0.297508917,121,0.796604,10381,13031.569010449359
16089,6,34.30256444749038,3,1,1,4,24.0,San Pedro Garza García,1,0,2,11.01701,4.97117,6,2.30674,25948,11248.775327952002
16090,422,120.71342240036584,3,1,3,6,11.0,Monterrey,1,0,3,8.456929,-1.0,422,2.55241,11577,4535.713306247821
16091,176,72.3001389721592,5,1,0,4,62.0,Juárez,1,0,3,30.89,1.96,176,0.626574,7575,12089.553668042403
16092,176,80.68695509292968,2,1,1,4,62.0,Juárez,1,0,2,40.089,-1.0,176,0.626574,7575,12089.553668042403
16093,176,67.93583967420342,4,1,1,4,62.0,Juárez,2,0,3,26.364,5.3544273790000005,176,0.626574,7575,12089.553668042403
16094,176,89.1894514360556,5,1,1,4,62.0,Juárez,0,1,2,25.615,1.3946182526666666,176,0.626574,7575,12089.553668042403
16095,176,75.19214453104557,5,1,0,4,62.0,Juárez,2,0,4,12.606,3.9,176,0.626574,7575,12089.553668042403
16096,176,94.5975018311731,6,1,1,4,62.0,Juárez,1,0,4,39.10132,35.747,176,0.626574,7575,12089.553668042403
16097,176,86.18176565481377,1,1,1,3,62.0,Juárez,1,0,1,50.069,-1.0,176,0.626574,7575,12089.553668042403
16098,176,66.51612785438647,5,1,1,4,62.0,Juárez,1,0,2,26.305,1.111927379,176,0.626574,7575,12089.553668042403
16099,176,86.44985965385729,4,1,0,3,62.0,Juárez,2,0,2,10.635,1.96,176,0.626574,7575,12089.553668042403
16100,176,92.07871721526315,4,1,0,2,62.0,Juárez,1,0,2,8.116,-1.0,176,0.626574,7575,12089.553668042403
16101,176,103.01323800753244,4,1,1,4,62.0,Juárez,2,0,2,13.75802,5.319,176,0.626574,7575,12089.553668042403
16102,176,75.19214453104557,4,1,0,4,62.0,Juárez,2,1,3,18.774,6.9625,176,0.626574,7575,12089.553668042403
16103,6,51.5551622624307,3,1,1,4,24.0,San Pedro Garza García,1,0,2,12.52245,-1.0,6,2.30674,25948,11248.775327952002
16104,176,80.08927394409316,4,1,2,4,62.0,Juárez,1,0,2,-1.0,1.111927379,176,0.626574,7575,12089.553668042403
16105,176,88.12904939779726,6,1,0,3,62.0,Juárez,2,0,4,33.634,3.456,176,0.626574,7575,12089.553668042403
16106,176,79.72470597060929,4,1,1,3,62.0,Juárez,1,0,2,0.263854758,1.96,176,0.626574,7575,12089.553668042403
16107,176,94.31408528640225,4,1,1,5,62.0,Juárez,1,0,2,50.985,2.72,176,0.626574,7575,12089.553668042403
16108,180,103.01323800753244,5,1,1,4,62.0,Juárez,1,0,2,-1.0,2.876,180,0.648768,7519,11589.6591693795
16109,180,75.19214453104557,3,1,1,2,62.0,Juárez,0,1,3,33.13,17.744,180,0.648768,7519,11589.6591693795
16110,180,77.3900687557992,4,1,1,5,62.0,Juárez,1,0,2,57.06,6.128,180,0.648768,7519,11589.6591693795
16111,180,75.19214453104557,5,1,1,4,62.0,Juárez,1,1,2,5.997,19.579,180,0.648768,7519,11589.6591693795
16112,180,61.88891896016829,1,1,0,3,62.0,Juárez,0,1,1,-1.0,-1.0,180,0.648768,7519,11589.6591693795
16113,180,64.54956407434375,4,1,0,4,62.0,Juárez,2,0,3,16.772,1.825,180,0.648768,7519,11589.6591693795
16114,180,77.1587083110883,5,1,0,3,62.0,Juárez,1,0,3,33.13,21.800666666666668,180,0.648768,7519,11589.6591693795
16115,180,94.21450558956953,4,1,1,3,62.0,Juárez,1,0,2,26.811,4.677,180,0.648768,7519,11589.6591693795
16116,180,85.8767905231494,4,1,1,4,62.0,Juárez,2,1,3,9.471333333333334,1.825,180,0.648768,7519,11589.6591693795
16117,6,37.63150530104431,2,1,1,3,24.0,San Pedro Garza García,1,0,2,8.35376,-1.0,6,2.30674,25948,11248.775327952002
16118,422,96.61818283645226,3,1,2,5,11.0,Monterrey,1,0,3,6.222082,-1.0,422,2.55241,11577,4535.713306247821
16119,180,68.54053174560693,2,1,0,4,62.0,Juárez,0,1,2,31.142,-1.0,180,0.648768,7519,11589.6591693795
16120,180,70.07589919139795,9,1,0,4,62.0,Juárez,1,2,4,15.614,0.268487119,180,0.648768,7519,11589.6591693795
16121,714,1.0,2,1,0,3,31.0,General Escobedo,1,0,2,-1.0,-1.0,714,1.319439,14337,10865.98167857703
16122,6,30.973623593936463,2,1,0,3,24.0,San Pedro Garza García,0,0,2,-1.0,-1.0,6,2.30674,25948,11248.775327952002
16123,6,37.63150530104431,2,1,1,4,24.0,San Pedro Garza García,1,0,2,11.01701,-1.0,6,2.30674,25948,11248.775327952002
16124,180,81.26535620470695,4,1,1,5,62.0,Juárez,2,1,3,33.437,1.825,180,0.648768,7519,11589.6591693795
16125,180,83.30027647977789,4,1,2,4,62.0,Juárez,1,0,3,21.56675,17.673499999999997,180,0.648768,7519,11589.6591693795
16126,180,61.88891896016828,5,1,0,2,62.0,Juárez,1,0,2,-1.0,-1.0,180,0.648768,7519,11589.6591693795
16127,180,74.42094304867588,3,1,2,5,62.0,Juárez,1,0,3,21.1875,0.268487119,180,0.648768,7519,11589.6591693795
16128,180,67.2102091885192,4,1,1,4,62.0,Juárez,1,0,2,30.88,13.7292435595,180,0.648768,7519,11589.6591693795
16129,180,100.09741593227876,5,1,1,4,62.0,Juárez,1,0,4,41.72696,24.106333333333332,180,0.648768,7519,11589.6591693795
16130,180,67.2102091885192,4,1,1,4,62.0,Juárez,0,2,4,0.268487119,13.385,180,0.648768,7519,11589.6591693795
16131,180,75.56232124258304,5,1,1,4,62.0,Juárez,1,0,2,2.876,1.5722435595,180,0.648768,7519,11589.6591693795
16132,180,89.97552899213693,5,1,2,5,62.0,Juárez,2,1,5,7.2285,38.263,180,0.648768,7519,11589.6591693795
16133,6,1.0,2,1,0,2,24.0,San Pedro Garza García,0,0,2,-1.0,-1.0,6,2.30674,25948,11248.775327952002
16134,180,76.6254833763817,5,1,0,3,62.0,Juárez,1,0,2,2.876,17.9777435595,180,0.648768,7519,11589.6591693795
16135,180,68.73333211619935,5,1,0,4,62.0,Juárez,1,0,2,32.611,2.7689935595,180,0.648768,7519,11589.6591693795
16136,180,75.78500567061728,5,1,1,4,62.0,Juárez,1,0,2,51.47717,1.4594957063333334,180,0.648768,7519,11589.6591693795
