HouseholdId,PersonNumber,TripNumber,StartTime,Mode,PuposeOrigin,ZoneOrigin,PurposeDestination,ZoneDestination
42,1,1,700,D,H,535,W,575
42,1,2,1700,D,W,575,H,535
43,1,1,1600,D,H,535,M,532
43,1,2,1830,D,M,532,H,535
44,2,1,1000,B,H,535,M,538
44,2,2,1300,B,M,538,H,535
45,1,1,1100,W,H,535,M,535
45,1,2,1130,W,M,535,H,535
46,3,1,1100,B,H,535,W,281
46,3,2,1700,B,W,281,H,535
46,4,1,840,W,H,535,S,535
46,4,2,2100,W,S,535,H,535
47,1,1,1200,D,H,535,O,535
47,1,2,1400,D,O,535,H,535
47,2,1,800,D,H,535,W,287
47,2,2,1800,D,W,287,H,535
48,1,1,1400,C,H,535,M,535
48,1,2,1440,C,M,535,H,535
49,2,1,730,O,H,535,W,285
49,2,2,1800,O,W,285,H,535
50,1,1,900,D,H,535,M,269
50,1,2,1500,D,M,269,H,535
50,2,1,710,S,H,535,S,535
50,2,2,1230,S,S,535,H,535
51,1,1,1400,W,H,535,O,535
51,1,2,1530,W,O,535,H,535
52,1,1,700,B,H,535,W,314
52,1,2,1800,B,W,314,H,535
53,1,1,1000,W,H,535,E,535
53,1,2,1400,W,E,535,H,535
54,1,1,900,W,H,535,O,535
54,1,2,1200,W,O,535,H,535
54,2,1,900,W,H,535,O,535
54,2,2,1200,W,O,535,H,535
55,1,1,800,B,H,535,W,281
55,1,2,1700,B,W,281,H,535
55,3,1,700,B,H,535,S,281
55,3,2,1400,B,S,281,H,535
56,2,1,700,B,H,535,S,281
56,2,2,1400,B,S,281,H,535
56,3,1,700,S,H,535,S,535
56,3,2,1300,S,S,535,H,535
57,1,1,1030,W,H,535,M,535
57,1,2,1055,W,M,535,H,535
58,1,1,1010,W,H,535,M,535
58,1,2,1025,W,M,535,H,535
60,1,1,930,W,H,535,M,535
60,1,2,955,W,M,535,H,535
60,2,1,500,O,H,535,W,281
60,2,2,1430,O,W,281,H,535
61,1,1,700,W,H,535,O,538
61,1,2,1100,W,O,538,H,535
62,2,1,1000,D,H,634,W,635
62,2,2,1600,D,W,635,H,634
62,3,1,800,D,H,634,M,650
62,3,2,850,D,M,650,W,635
62,3,3,1830,D,W,635,H,634
62,4,1,1200,D,H,634,S,635
62,4,2,1430,D,S,635,E,44
62,4,3,2200,D,E,44,H,634
63,1,1,700,D,H,634,F,577
63,1,2,915,D,F,577,H,634
63,3,1,745,P,H,634,S,577
63,3,2,915,P,S,577,H,634
64,1,1,515,B,H,634,W,574
64,1,2,1300,B,W,574,H,634
64,2,1,645,D,H,634,W,281
64,2,2,1330,D,W,281,H,634
64,3,1,600,D,H,634,S,434
64,3,2,900,D,S,434,H,634
65,1,1,700,D,H,634,W,678
65,1,2,2000,D,W,678,H,634
65,2,1,900,D,H,634,S,570
65,2,2,1525,D,S,570,H,634
65,3,1,630,D,H,634,W,611
65,3,2,1730,D,W,611,H,634
65,3,3,1800,D,H,634,S,637
65,3,4,1935,D,S,637,H,634
66,1,1,730,D,H,634,W,734
66,1,2,1800,D,W,734,H,634
66,2,1,800,D,H,634,W,690
66,2,2,1400,D,W,690,H,634
66,2,3,1500,D,H,634,E,604
66,2,4,1515,D,E,604,H,634
66,3,1,630,D,H,634,S,623
66,3,2,1420,D,S,623,H,634
66,4,1,630,D,H,634,S,623
66,4,2,1420,D,S,623,H,634
67,1,1,1200,W,H,538,M,538
67,1,2,1215,W,M,538,H,538
68,1,1,800,B,H,538,W,299
68,1,2,1800,B,W,299,H,538
68,2,1,1100,W,H,538,M,538
68,2,2,1130,W,M,538,H,538
69,1,1,500,B,H,538,W,281
69,1,2,1630,B,W,281,H,538
69,3,1,1200,B,H,538,S,535
69,3,2,1730,B,S,535,H,538
70,2,1,1930,B,H,538,O,535
70,2,2,2100,B,O,535,H,538
70,3,1,530,B,H,538,S,614
70,3,2,1300,B,S,614,H,538
70,4,1,630,B,H,538,S,533
70,4,2,1230,B,S,533,H,538
71,1,1,840,D,H,538,W,535
71,1,2,1700,D,W,535,H,538
72,3,1,1400,D,H,538,W,299
72,3,2,2340,D,W,299,H,538
72,5,1,730,S,H,538,S,538
72,5,2,1430,S,S,538,H,538
73,2,1,700,B,H,538,W,296
73,2,2,1600,B,W,296,H,538
74,2,1,700,B,H,538,F,538
74,2,2,930,B,F,538,H,538
74,2,3,1700,P,H,538,E,535
74,2,4,2000,P,E,535,H,538
74,3,1,630,D,H,538,W,287
74,3,2,1730,D,W,287,H,538
74,4,1,600,B,H,538,S,314
74,4,2,1500,B,S,314,H,538
74,5,1,545,O,H,538,W,296
74,5,2,1500,O,W,296,H,538
74,6,1,720,B,H,538,S,535
74,6,2,1245,B,S,535,H,538
75,2,1,600,B,H,538,W,270
75,2,2,1730,B,W,270,H,538
76,1,1,730,W,H,538,W,538
76,1,2,1645,W,W,538,H,538
77,1,1,1600,O,H,538,W,270
77,1,2,200,O,W,270,H,538
77,2,1,500,B,H,538,W,531
77,2,2,1420,B,W,531,H,538
78,1,1,600,B,H,538,W,531
78,1,2,1530,B,W,531,H,538
79,1,1,900,P,H,538,O,281
79,1,2,1300,P,O,281,H,538
80,1,1,800,B,H,538,W,538
80,1,2,1600,B,W,538,H,538
80,3,1,730,B,H,538,S,535
80,3,2,1230,B,S,535,H,538
81,1,1,840,B,H,538,O,281
81,1,2,1030,B,O,281,H,538
81,2,1,700,B,H,538,W,281
81,2,2,1700,O,W,281,H,538
82,1,1,800,W,H,538,M,538
82,1,2,820,W,M,538,H,538
83,1,1,910,W,H,538,M,538
83,1,2,920,W,M,538,H,538
83,2,1,1100,W,H,538,M,538
83,2,2,1115,W,M,538,H,538
84,1,1,830,C,H,538,W,535
85,2,1,715,B,H,538,S,535
85,2,2,1230,B,S,535,H,538
